epoch,accuracy,loss,val_accuracy,val_loss
0,0.3678383529186249,1.3337799310684204,0.44668588042259216,1.2783185243606567
1,0.6424024105072021,1.0072932243347168,0.6484149694442749,0.9310104250907898
2,0.7893717288970947,0.5934953689575195,0.6743515729904175,0.779911458492279
3,0.8386382460594177,0.42332080006599426,0.6974063515663147,0.7741860747337341
4,0.8831995725631714,0.3266774117946625,0.7089337110519409,0.7748655080795288
5,0.9089399576187134,0.26112544536590576,0.7060518860816956,0.8669307231903076
6,0.9294215440750122,0.2181350737810135,0.7031700015068054,0.8674951195716858
7,0.9418765306472778,0.18450842797756195,0.6887608170509338,0.9772924780845642
8,0.9535012245178223,0.15558414161205292,0.6714697480201721,1.0569865703582764
9,0.9584832787513733,0.13997024297714233,0.7031700015068054,1.078979730606079
10,0.9640188217163086,0.1202554926276207,0.6829971075057983,1.1703338623046875
11,0.9695543646812439,0.10649771243333817,0.6772334575653076,1.2136174440383911
12,0.971491813659668,0.09794668853282928,0.6887608170509338,1.2214311361312866
13,0.9698311686515808,0.09690184146165848,0.6887608170509338,1.2510583400726318
14,0.9725989699363708,0.09153549373149872,0.6829971075057983,1.3081434965133667
15,0.972045361995697,0.08692847192287445,0.6829971075057983,1.326582431793213
16,0.9731525182723999,0.08166098594665527,0.6772334575653076,1.3845081329345703
17,0.9745364189147949,0.07650411128997803,0.6685879230499268,1.3786370754241943
18,0.975643515586853,0.06844522804021835,0.6829971075057983,1.421002745628357
19,0.975643515586853,0.06920311599969864,0.6858789920806885,1.4155218601226807
20,0.9781345129013062,0.06557565182447433,0.6916426420211792,1.4163264036178589
21,0.9753667116165161,0.06640435010194778,0.6772334575653076,1.4886020421981812
22,0.9761970639228821,0.06076333299279213,0.6772334575653076,1.4740451574325562
23,0.9773041605949402,0.06389324367046356,0.6628242135047913,1.4950398206710815
24,0.9775809645652771,0.05843765661120415,0.6858789920806885,1.539976954460144
