epoch,accuracy,loss,val_accuracy,val_loss
0,0.35732078552246094,1.337300419807434,0.46685880422592163,1.2778767347335815
1,0.6473844647407532,1.0032767057418823,0.6541786789894104,0.919060230255127
2,0.7843896746635437,0.5970646739006042,0.7204610705375671,0.757145345211029
3,0.8408524990081787,0.42566823959350586,0.7060518860816956,0.783379077911377
4,0.8757265210151672,0.3449871838092804,0.7118155360221863,0.7916847467422485
5,0.9003598093986511,0.28415510058403015,0.7031700015068054,0.8486745953559875
6,0.9211181998252869,0.23542113602161407,0.6887608170509338,0.8824860453605652
7,0.9335731863975525,0.20083241164684296,0.6714697480201721,0.9500699639320374
8,0.94768887758255,0.1634097695350647,0.6887608170509338,0.992670476436615
9,0.9551619291305542,0.14931610226631165,0.6916426420211792,1.0642365217208862
10,0.9612510204315186,0.1295802742242813,0.6887608170509338,1.0550568103790283
11,0.9651259183883667,0.11641686409711838,0.6772334575653076,1.1775718927383423
12,0.9676169157028198,0.11028081178665161,0.6657060384750366,1.2044830322265625
13,0.9690008163452148,0.09603721648454666,0.6916426420211792,1.2291284799575806
14,0.9695543646812439,0.09570904076099396,0.7002881765365601,1.240216851234436
15,0.9717686176300049,0.09213769435882568,0.6945244669914246,1.316014051437378
16,0.9739828109741211,0.08578070253133774,0.6714697480201721,1.3433467149734497
17,0.973429262638092,0.08008570224046707,0.7002881765365601,1.3634309768676758
18,0.9767506122589111,0.07500059902667999,0.7002881765365601,1.3655388355255127
19,0.9748131632804871,0.07675939798355103,0.7031700015068054,1.3589069843292236
20,0.9753667116165161,0.07300739735364914,0.6916426420211792,1.3948376178741455
21,0.977027416229248,0.0666198655962944,0.7002881765365601,1.423741340637207
22,0.9781345129013062,0.06280443072319031,0.6974063515663147,1.4900615215301514
23,0.9753667116165161,0.06324140727519989,0.6829971075057983,1.4488285779953003
24,0.9781345129013062,0.05925736948847771,0.6858789920806885,1.5016576051712036
